"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Rubella","All cases","Age-specific rate","N/1000000","2007-05","UK","United Kingdom",7,"30+",0.052401100
"Rubella","All cases","Age-specific rate","N/1000000","2007-06","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-06","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-06","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-06","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-06","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-06","UK","United Kingdom",6,"20-29",0.372255860
"Rubella","All cases","Age-specific rate","N/1000000","2007-06","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-07","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-07","UK","United Kingdom",2,"1-4",0.356335500
"Rubella","All cases","Age-specific rate","N/1000000","2007-07","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-07","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-07","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-07","UK","United Kingdom",6,"20-29",0.124085280
"Rubella","All cases","Age-specific rate","N/1000000","2007-07","UK","United Kingdom",7,"30+",0.052401100
"Rubella","All cases","Age-specific rate","N/1000000","2007-08","UK","United Kingdom",1,"<1",1.340962510
"Rubella","All cases","Age-specific rate","N/1000000","2007-08","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-08","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-08","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-08","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-08","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-08","UK","United Kingdom",7,"30+",0.026200550
"Rubella","All cases","Age-specific rate","N/1000000","2007-09","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-09","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-09","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-09","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-09","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-09","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-09","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-10","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-10","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-10","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-10","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-10","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-10","UK","United Kingdom",6,"20-29",0.124085280
"Rubella","All cases","Age-specific rate","N/1000000","2007-10","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-11","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-11","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-11","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-11","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-11","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-11","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-11","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-12","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-12","UK","United Kingdom",2,"1-4",0.356335500
"Rubella","All cases","Age-specific rate","N/1000000","2007-12","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-12","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-12","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-12","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-12","UK","United Kingdom",7,"30+",0.052401100
"Rubella","All cases","Age-specific rate","N/1000000","2008-01","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-01","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-01","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-01","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-01","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-01","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-01","UK","United Kingdom",7,"30+",0.026036090
"Rubella","All cases","Age-specific rate","N/1000000","2008-02","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-02","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-02","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-02","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-02","UK","United Kingdom",5,"15-19",0.250311570
"Rubella","All cases","Age-specific rate","N/1000000","2008-02","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-02","UK","United Kingdom",7,"30+",0.026036090
"Rubella","All cases","Age-specific rate","N/1000000","2008-03","UK","United Kingdom",1,"<1",1.293948970
"Rubella","All cases","Age-specific rate","N/1000000","2008-03","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-03","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-03","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-03","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-03","UK","United Kingdom",6,"20-29",0.363312110
"Rubella","All cases","Age-specific rate","N/1000000","2008-03","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-04","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-04","UK","United Kingdom",2,"1-4",0.346748690
"Rubella","All cases","Age-specific rate","N/1000000","2008-04","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-04","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-04","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-04","UK","United Kingdom",6,"20-29",0.121104030
"Rubella","All cases","Age-specific rate","N/1000000","2008-04","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-05","UK","United Kingdom",1,"<1",1.293948970
"Rubella","All cases","Age-specific rate","N/1000000","2008-05","UK","United Kingdom",2,"1-4",0.346748690
"Rubella","All cases","Age-specific rate","N/1000000","2008-05","UK","United Kingdom",3,"5-9",0.287373410
"Rubella","All cases","Age-specific rate","N/1000000","2008-05","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-05","UK","United Kingdom",5,"15-19",0.250311570
"Rubella","All cases","Age-specific rate","N/1000000","2008-05","UK","United Kingdom",6,"20-29",0.121104030
"Rubella","All cases","Age-specific rate","N/1000000","2008-05","UK","United Kingdom",7,"30+",0.052072180
"Rubella","All cases","Age-specific rate","N/1000000","2008-06","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-06","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-06","UK","United Kingdom",3,"5-9",0.287373410
"Rubella","All cases","Age-specific rate","N/1000000","2008-06","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-06","UK","United Kingdom",5,"15-19",0.500623150
"Rubella","All cases","Age-specific rate","N/1000000","2008-06","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-06","UK","United Kingdom",7,"30+",0.026036090
"Rubella","All cases","Age-specific rate","N/1000000","2008-07","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-07","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-07","UK","United Kingdom",3,"5-9",0.574746830
"Rubella","All cases","Age-specific rate","N/1000000","2008-07","UK","United Kingdom",4,"10-14",0.794809570
"Rubella","All cases","Age-specific rate","N/1000000","2008-07","UK","United Kingdom",5,"15-19",0.250311570
"Rubella","All cases","Age-specific rate","N/1000000","2008-07","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-07","UK","United Kingdom",7,"30+",0.026036090
"Rubella","All cases","Age-specific rate","N/1000000","2008-08","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-08","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-08","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-08","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-08","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-08","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-08","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-09","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-09","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-09","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-09","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-09","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-09","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-09","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-10","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-10","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-10","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-10","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-10","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-10","UK","United Kingdom",6,"20-29",0.242208070
"Rubella","All cases","Age-specific rate","N/1000000","2008-10","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-11","UK","United Kingdom",1,"<1",1.293948970
"Rubella","All cases","Age-specific rate","N/1000000","2008-11","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-11","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-11","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-11","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-11","UK","United Kingdom",6,"20-29",0.121104030
"Rubella","All cases","Age-specific rate","N/1000000","2008-11","UK","United Kingdom",7,"30+",0.052072180
"Rubella","All cases","Age-specific rate","N/1000000","2008-12","UK","United Kingdom",1,"<1",2.587897950
"Rubella","All cases","Age-specific rate","N/1000000","2008-12","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-12","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-12","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-12","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-12","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2008-12","UK","United Kingdom",7,"30+",0.026036090
"Rubella","All cases","Age-specific rate","N/1000000","2009-01","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-01","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-01","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-01","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-01","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-01","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-01","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-02","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-02","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-02","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-02","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-02","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-02","UK","United Kingdom",6,"20-29",0.119463230
"Rubella","All cases","Age-specific rate","N/1000000","2009-02","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-03","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-03","UK","United Kingdom",2,"1-4",0.337041800
"Rubella","All cases","Age-specific rate","N/1000000","2009-03","UK","United Kingdom",3,"5-9",0.289125050
"Rubella","All cases","Age-specific rate","N/1000000","2009-03","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-03","UK","United Kingdom",5,"15-19",0.249582260
"Rubella","All cases","Age-specific rate","N/1000000","2009-03","UK","United Kingdom",6,"20-29",0.119463230
"Rubella","All cases","Age-specific rate","N/1000000","2009-03","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-04","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-04","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-04","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-04","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-04","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-04","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-04","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-05","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-05","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-05","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-05","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-05","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-05","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-05","UK","United Kingdom",7,"30+",0.051672720
"Rubella","All cases","Age-specific rate","N/1000000","2009-06","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-06","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-06","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-06","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-06","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-06","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-06","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-07","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-07","UK","United Kingdom",2,"1-4",0.337041800
"Rubella","All cases","Age-specific rate","N/1000000","2009-07","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-07","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-07","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-07","UK","United Kingdom",6,"20-29",0.119463230
"Rubella","All cases","Age-specific rate","N/1000000","2009-07","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-08","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-08","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-08","UK","United Kingdom",3,"5-9",0.289125050
"Rubella","All cases","Age-specific rate","N/1000000","2009-08","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-08","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-08","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-08","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-09","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-09","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-09","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-09","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-09","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-09","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-09","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-10","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-10","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-10","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-10","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-10","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-10","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-10","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-11","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-11","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-11","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-11","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-11","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-11","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-11","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-12","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-12","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-12","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-12","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-12","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-12","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2009-12","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-01","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-01","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-01","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-01","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-01","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-01","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-01","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-02","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-02","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-02","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-02","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-02","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-02","UK","United Kingdom",6,"20-29",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-02","UK","United Kingdom",7,"30+",0.025610670
"Rubella","All cases","Age-specific rate","N/1000000","2010-03","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2010-03","UK","United Kingdom",2,"1-4",0.000000000
